L,A,B
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
127,129,240
127,129,240
126,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
127,129,240
127,129,240
128,128,240
128,128,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
127,129,240
127,129,240
127,129,240
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,128,244
127,128,244
127,129,242
126,129,242
126,129,242
126,129,242
126,130,240
127,129,240
127,129,240
128,128,240
128,128,240
128,128,240
127,129,240
126,130,240
126,130,240
126,130,240
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,129,242
127,128,244
126,129,244
126,129,244
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
127,131,241
127,131,241
127,131,241
127,131,241
127,131,241
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
127,131,241
127,131,241
127,131,241
127,131,241
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
