L,A,B
107,169,94
108,171,92
108,171,90
108,171,90
108,170,93
109,171,96
107,171,95
106,170,96
107,170,99
104,169,103
106,168,105
106,169,99
106,169,88
106,170,74
108,171,66
109,173,61
113,167,81
114,168,82
110,170,96
110,169,103
109,168,104
110,168,92
112,168,71
114,167,51
119,164,45
123,161,48
124,161,48
124,161,45
122,162,40
121,162,44
119,161,51
121,160,53
122,160,49
121,160,41
126,160,40
125,159,38
125,159,36
123,159,37
125,158,43
126,158,47
128,157,47
128,158,44
129,160,41
127,161,40
126,161,45
122,161,54
119,163,65
115,166,73
113,168,77
111,170,80
107,170,91
108,170,93
108,170,95
108,170,95
108,170,93
108,171,92
107,171,93
105,171,97
105,170,104
104,170,109
104,169,105
103,169,95
104,170,82
105,171,73
106,171,69
107,172,68
110,168,83
111,169,84
109,170,92
109,169,97
108,168,98
110,169,89
112,168,69
114,167,51
119,164,45
123,162,45
124,161,47
124,161,45
123,162,43
121,162,44
119,161,49
120,162,52
121,161,47
121,160,41
129,160,40
128,159,39
125,159,38
124,158,37
124,159,41
125,158,45
126,159,46
128,159,42
128,159,40
126,160,40
124,161,45
123,162,55
120,164,66
116,167,74
113,169,80
111,170,80
109,171,86
108,169,91
109,169,97
109,169,97
108,171,92
108,172,86
107,172,88
105,171,99
105,171,109
102,170,113
102,171,106
102,170,93
102,171,82
103,173,77
105,172,79
107,172,82
110,169,87
111,170,88
109,170,92
108,168,94
108,168,94
111,169,85
112,168,69
116,166,53
120,163,45
122,161,44
126,160,47
124,161,47
122,161,46
121,161,46
119,162,47
120,163,48
122,162,47
122,161,44
126,159,42
125,160,42
122,160,41
122,160,41
123,160,44
123,160,44
123,160,44
125,160,42
125,160,40
125,160,42
124,161,47
122,163,57
120,166,67
117,168,75
113,169,80
111,169,82
110,170,82
108,170,87
108,168,94
108,169,92
107,171,85
106,172,82
105,173,86
105,173,100
103,171,110
102,172,112
102,173,107
101,172,96
100,172,88
103,172,89
104,171,91
104,171,92
108,171,90
109,172,91
111,169,93
110,168,92
110,168,91
111,169,85
113,167,71
116,165,56
119,162,46
122,160,41
125,160,44
125,159,47
122,160,49
120,160,48
119,162,47
120,163,47
122,163,45
122,163,45
122,160,47
122,160,47
121,161,47
119,162,47
120,163,47
120,163,47
122,163,45
123,162,43
124,162,43
124,161,45
