L,A,B
118,164,56
118,164,56
118,164,55
117,165,53
127,159,52
125,161,51
124,163,54
121,163,61
119,164,71
118,164,74
117,164,70
118,165,61
122,166,55
123,165,53
122,164,52
121,163,53
119,165,57
119,166,70
118,167,86
117,167,98
110,170,96
110,170,96
109,165,138
108,165,122
108,165,94
111,166,72
114,166,56
117,164,50
118,160,48
120,160,46
120,160,45
120,161,43
120,161,43
120,160,48
121,160,53
123,160,57
124,160,60
124,160,60
124,160,62
124,161,58
124,163,54
122,164,52
122,165,58
121,165,67
121,165,70
121,165,68
120,165,60
119,166,52
118,166,48
118,166,48
118,165,51
118,165,53
118,165,53
117,166,51
131,157,58
129,161,54
126,162,52
123,165,57
120,164,67
118,164,76
118,163,78
119,164,73
120,164,66
123,164,60
122,164,56
121,163,51
121,165,54
120,167,65
119,166,85
120,167,99
110,171,101
110,171,101
101,170,126
103,169,121
105,168,111
107,167,97
111,164,82
114,164,69
116,163,57
120,164,53
121,164,49
121,164,49
121,165,54
122,165,58
120,164,66
118,163,70
118,162,73
119,163,76
122,161,68
122,162,66
121,163,65
119,162,70
119,163,76
121,165,80
121,166,73
120,167,63
119,165,56
122,165,58
122,164,64
121,161,65
121,161,65
122,162,65
121,163,63
120,162,62
124,160,60
123,161,60
121,164,57
118,166,54
117,167,56
118,166,64
118,165,69
119,163,66
122,165,60
120,162,54
119,161,53
117,163,54
117,166,57
113,167,71
114,167,95
115,169,117
105,173,116
104,172,115
102,169,126
102,168,120
105,168,111
107,166,98
111,166,85
114,165,73
117,163,64
118,164,56
120,163,55
120,163,55
121,164,59
120,164,66
121,164,72
120,164,77
120,163,81
121,164,84
122,163,67
122,164,64
119,164,61
119,163,65
119,164,73
121,165,78
121,166,75
120,166,67
120,166,58
122,165,58
122,164,62
122,162,63
121,161,62
122,163,61
121,162,60
120,161,59
124,161,56
123,162,56
120,163,55
119,166,54
118,166,54
118,167,62
119,165,66
119,164,63
122,163,57
122,161,54
119,160,54
120,162,60
117,165,63
115,166,73
114,168,93
115,168,112
108,173,117
107,172,116
101,169,122
102,169,116
104,168,107
107,167,97
111,166,85
112,165,77
117,164,70
119,166,64
119,164,59
119,164,59
120,165,64
121,164,72
121,165,78
121,164,82
122,165,85
123,166,87
121,166,63
120,166,58
118,166,56
118,165,61
118,165,73
120,165,80
120,166,78
119,164,69
120,165,62
122,165,60
123,164,60
122,163,59
121,162,56
123,162,55
122,161,54
121,160,54
123,161,50
122,161,52
121,163,53
118,165,51
118,167,52
119,167,58
119,164,59
120,163,55
124,164,52
122,161,52
122,160,59
122,162,66
119,164,69
116,167,75
115,168,90
114,168,106
108,172,111
107,172,108
101,170,116
101,169,110
104,169,101
106,168,91
109,167,83
112,166,78
115,166,73
118,166,67
118,167,62
119,166,60
120,167,65
120,165,70
120,164,75
120,164,77
121,165,78
122,166,79
120,167,61
119,167,58
117,166,57
116,166,67
118,166,80
119,166,86
118,165,84
118,165,73
119,165,66
120,165,62
123,164,60
124,162,59
122,161,54
122,162,50
122,160,49
122,160,49
122,161,46
122,162,48
121,164,49
120,164,49
119,166,52
120,166,57
121,164,56
123,163,49
125,164,47
124,162,51
124,160,62
123,162,71
121,164,72
118,167,76
115,168,86
113,169,98
109,171,96
108,170,95
100,171,113
100,171,105
102,170,97
105,170,88
108,167,83
111,167,80
112,167,74
114,166,66
115,168,62
116,168,58
116,168,60
117,168,65
118,166,67
118,166,67
118,166,66
119,168,63
116,167,62
116,167,64
115,167,67
116,166,79
118,166,92
120,167,99
118,166,90
117,166,75
118,164,65
120,165,62
122,162,63
124,162,61
123,160,55
122,160,49
122,159,45
123,160,44
121,160,43
121,161,46
120,163,48
121,164,49
121,165,52
122,164,56
124,163,56
123,162,47
125,163,44
125,162,48
125,160,58
125,162,69
121,165,70
118,168,73
115,169,83
115,169,94
108,171,82
107,170,81
101,172,114
101,171,108
101,171,98
103,170,90
105,168,87
108,167,85
109,167,82
111,168,74
112,169,66
113,169,60
113,169,60
116,169,65
115,167,66
116,167,64
116,168,58
119,169,56
115,167,69
113,167,73
114,166,81
115,167,95
117,167,108
117,167,108
117,167,96
116,166,77
117,165,63
119,164,59
122,162,63
124,161,65
123,160,57
123,159,49
122,160,41
125,161,39
121,162,44
121,161,47
120,162,50
121,163,51
121,163,55
122,163,59
124,162,59
125,162,49
126,161,41
126,161,43
125,161,53
123,161,60
119,164,63
117,167,68
114,168,80
114,168,90
111,170,78
110,169,77
99,172,119
100,171,113
100,171,105
100,170,98
103,169,97
107,168,98
108,168,96
109,168,88
109,169,79
110,170,74
112,169,72
114,169,75
114,168,74
116,168,70
116,169,63
118,170,60
113,167,83
114,167,85
114,168,93
115,167,105
114,167,115
116,166,113
116,167,100
115,168,80
114,165,62
117,164,58
121,163,61
124,162,61
123,160,55
122,159,46
124,159,39
126,162,38
119,162,47
120,162,50
120,162,52
121,163,55
122,163,61
125,162,67
125,161,65
126,162,56
126,161,41
126,162,38
124,161,45
122,161,52
118,164,56
116,167,64
114,169,76
114,168,90
113,169,78
111,167,76
99,172,126
99,172,119
99,170,112
100,170,108
101,169,108
104,169,111
105,169,109
107,169,104
108,170,97
109,170,92
111,170,90
112,169,90
113,167,89
113,166,84
115,168,78
116,170,74
113,167,92
112,169,92
112,168,95
112,168,103
113,168,111
113,168,113
113,168,101
114,168,84
113,165,65
116,165,58
120,163,55
124,163,54
124,163,48
122,160,41
124,160,38
126,162,40
119,163,52
119,162,54
119,162,54
120,163,58
122,162,65
125,161,73
126,161,71
126,161,57
124,162,41
124,163,36
123,163,41
119,162,47
117,165,53
115,168,62
115,170,77
113,170,89
115,170,77
113,168,75
96,172,126
96,173,121
97,172,116
97,170,114
100,170,116
103,171,120
105,172,121
105,170,116
105,169,109
107,169,104
107,168,101
108,167,101
111,167,102
112,168,97
114,168,92
116,169,87
112,168,97
111,169,93
112,171,91
110,171,94
111,170,104
111,169,110
113,169,106
115,169,93
114,167,77
115,166,63
117,164,52
120,163,45
124,164,41
126,165,40
127,162,42
126,161,45
117,163,54
118,164,56
118,163,58
119,164,61
121,162,66
122,160,73
124,160,72
125,162,59
126,164,45
123,163,38
122,163,45
120,164,53
117,166,57
114,169,65
114,171,76
112,170,85
114,170,73
114,170,73
94,172,122
95,173,121
95,172,116
97,172,115
98,171,116
102,172,120
103,171,120
103,170,117
102,170,113
104,170,109
105,169,108
107,169,106
109,168,104
112,169,100
113,169,94
115,169,91
111,169,95
111,170,88
109,172,81
109,172,83
109,171,94
110,170,106
111,169,110
114,169,104
115,168,90
116,167,74
117,166,59
120,165,46
123,165,41
124,164,41
125,162,46
124,160,50
118,166,57
118,165,59
119,166,60
120,165,64
120,164,69
122,162,74
123,162,71
125,164,58
124,165,45
122,163,43
121,163,55
120,164,67
117,167,70
115,169,71
114,171,76
111,170,80
114,169,75
114,169,75
94,174,121
95,174,119
95,174,119
95,172,116
98,173,117
99,172,116
101,172,114
101,170,113
101,171,109
102,171,108
105,172,105
108,171,101
108,170,97
109,170,92
111,170,88
112,170,86
111,170,88
111,171,81
108,172,75
107,172,78
107,172,92
108,170,107
110,169,115
112,170,112
114,169,102
116,167,88
117,166,74
118,165,59
120,164,49
123,163,48
124,162,51
124,161,56
118,167,58
118,167,60
119,166,62
119,166,64
120,164,69
122,163,71
123,163,67
123,165,55
122,166,45
121,164,49
120,164,67
122,165,85
119,166,86
115,170,79
114,171,76
110,170,74
115,169,81
115,169,81
95,174,126
95,174,126
96,174,126
97,173,124
98,172,119
98,172,113
99,171,108
100,170,107
101,172,106
102,171,104
104,172,99
105,172,93
107,171,85
108,171,82
110,170,80
110,170,80
111,171,81
110,171,76
108,172,75
107,172,82
107,171,97
109,170,113
110,170,119
112,170,119
114,169,111
116,168,102
119,167,93
120,165,80
121,165,70
122,164,62
123,164,62
125,163,64
118,167,58
118,167,60
118,167,62
119,166,64
119,165,67
120,164,69
122,164,64
121,165,50
121,167,45
121,164,56
121,165,80
123,165,99
119,166,98
115,169,85
113,170,73
110,171,68
115,169,85
116,170,86
95,173,131
96,174,134
97,173,135
98,173,134
99,171,125
99,170,114
99,171,108
100,171,105
102,171,106
104,171,104
103,171,96
106,171,87
106,171,79
107,171,75
109,170,75
110,171,78
112,171,79
111,173,76
108,172,76
108,172,86
109,172,102
108,171,116
111,170,122
112,170,120
113,170,117
116,169,113
118,168,107
120,167,99
122,166,87
123,166,77
124,165,71
124,165,69
120,169,64
119,167,65
119,167,65
120,166,67
120,166,68
121,165,70
121,166,65
120,167,53
120,168,48
120,166,58
122,165,85
121,165,104
119,165,103
116,167,88
113,170,73
111,169,66
115,167,82
115,167,82
