H,S,V
242,1,142
243,4,133
242,6,130
242,5,137
242,5,137
241,6,127
241,5,131
244,0,157
245,0,170
246,4,140
230,0,74
244,14,79
243,6,122
245,3,165
243,3,154
243,9,122
243,7,133
243,7,135
244,8,136
243,6,136
243,6,136
242,5,135
243,6,136
243,7,135
241,5,131
243,5,129
243,5,127
243,5,127
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,4,131
243,4,131
243,4,131
243,4,131
242,4,128
242,4,128
242,4,128
242,4,128
242,4,128
242,4,126
242,4,128
242,5,123
241,6,125
242,5,137
242,5,139
242,6,132
242,5,139
244,0,164
248,1,170
246,8,119
222,0,33
230,5,39
245,8,116
246,0,173
242,0,156
244,11,120
241,6,137
242,6,140
242,6,140
242,6,142
242,6,143
243,5,143
243,5,142
244,6,143
241,4,138
241,4,136
241,4,136
243,5,127
243,5,129
243,5,129
243,5,129
243,5,129
243,4,131
243,4,131
243,4,131
243,4,131
243,4,131
242,3,130
242,4,128
242,4,128
242,4,128
242,4,128
242,4,126
241,3,127
241,3,125
242,4,126
241,5,131
242,5,137
243,5,142
245,3,150
245,2,152
242,2,127
232,0,76
230,0,47
228,0,65
247,6,136
243,0,163
245,2,154
246,9,127
242,4,150
242,4,150
242,4,152
242,4,154
242,4,154
242,3,156
242,3,156
243,5,155
244,4,155
244,4,153
244,4,153
243,5,127
243,5,127
243,5,129
243,5,129
243,5,129
243,4,131
243,4,131
243,4,131
243,4,131
243,4,131
243,4,131
242,4,128
242,4,128
242,4,128
242,4,126
242,4,126
241,1,138
241,1,136
241,2,131
241,6,125
242,6,132
245,2,152
245,1,159
246,5,135
246,13,94
230,0,55
248,13,92
248,5,131
248,0,159
245,0,158
248,5,145
244,6,130
243,4,160
243,3,162
242,2,161
242,2,163
242,1,165
242,1,165
242,1,165
242,1,165
242,1,165
243,1,163
243,1,163
244,4,129
244,4,129
244,4,129
244,4,129
244,4,129
244,4,129
244,4,129
243,5,129
243,5,129
243,5,129
242,4,128
242,4,128
242,4,128
242,4,128
242,4,128
242,4,128
242,4,126
243,5,127
243,5,129
242,3,130
240,4,132
240,3,135
242,5,139
243,5,142
242,5,145
242,5,147
241,4,148
241,5,150
243,7,152
244,8,155
243,7,154
243,7,154
242,2,163
242,2,161
242,3,158
242,4,154
242,5,149
243,5,143
243,6,140
243,7,135
243,4,131
243,5,127
243,5,127
244,4,129
244,4,129
244,4,129
244,4,129
244,4,129
244,4,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
242,4,128
242,4,128
242,4,128
242,4,128
242,4,128
242,4,126
242,4,126
242,4,128
241,2,129
239,3,131
240,3,133
242,5,139
244,6,143
243,7,144
242,5,145
241,4,146
242,5,149
242,6,151
243,7,152
242,6,151
242,6,151
243,3,162
242,3,159
242,3,156
242,4,152
244,5,148
244,6,144
243,6,138
243,7,135
243,4,131
243,5,129
243,5,127
244,4,129
244,4,129
244,4,129
244,4,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
242,4,128
242,4,128
242,4,128
242,4,128
242,4,128
242,4,126
242,4,126
242,4,128
242,3,130
240,4,132
241,4,134
243,6,138
244,7,141
243,5,142
242,6,143
242,5,145
242,5,147
242,5,147
242,5,149
243,6,150
243,6,150
242,3,158
242,3,156
242,4,154
242,4,150
243,5,145
243,5,142
242,5,137
241,5,133
242,3,130
242,4,128
242,4,126
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
242,4,128
242,4,128
242,4,128
243,5,129
243,5,129
242,4,126
242,4,126
242,4,128
242,3,130
240,4,130
241,5,133
242,5,135
243,6,138
242,5,139
243,5,142
242,6,143
242,6,143
242,5,145
242,5,145
242,5,145
242,5,145
242,4,152
242,4,152
243,4,149
243,4,147
243,5,143
242,5,139
241,4,134
242,3,132
242,3,130
242,4,128
242,4,126
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
244,6,130
244,6,130
241,3,125
242,4,126
242,4,128
242,4,128
240,4,130
240,4,132
240,3,133
240,3,133
240,3,135
242,5,139
243,6,140
244,6,143
243,5,142
243,5,142
243,5,142
243,5,142
243,4,147
243,4,147
243,5,145
244,6,144
244,7,141
243,6,138
244,5,135
243,4,133
244,5,132
244,6,130
244,6,130
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
241,5,129
242,6,130
242,6,130
242,6,130
242,6,130
242,4,126
242,4,126
242,4,128
242,4,128
240,4,128
240,4,130
239,3,131
239,3,131
240,3,133
241,4,134
242,5,137
243,6,138
243,6,138
242,5,137
242,5,137
242,5,137
243,5,142
242,4,141
243,6,140
243,6,138
245,5,138
245,6,136
244,5,134
244,5,132
244,5,132
244,6,130
242,6,130
243,5,129
243,5,129
243,5,129
244,6,130
244,6,130
244,6,130
244,6,130
244,6,130
243,5,129
241,5,129
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,7,128
241,6,127
241,6,127
240,4,128
242,4,128
242,4,128
243,4,131
243,4,131
243,4,131
243,4,133
243,4,133
244,5,134
243,4,133
243,4,133
243,4,134
243,4,134
243,4,134
243,4,134
243,4,134
243,4,133
244,5,134
244,5,134
244,5,132
244,5,132
244,5,132
244,6,130
242,6,130
243,5,129
243,5,129
244,6,130
244,6,130
244,6,130
244,6,130
244,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,7,128
241,6,127
240,5,126
241,3,127
241,3,127
242,4,128
243,5,129
243,5,129
244,6,130
243,4,131
243,4,131
243,4,131
242,3,130
242,3,130
243,4,131
243,4,131
243,4,131
243,4,131
243,4,131
243,4,131
244,5,132
244,5,132
244,5,132
244,5,132
244,5,132
244,6,130
242,6,130
242,4,128
243,5,129
244,6,130
244,6,130
244,6,130
244,6,130
242,6,130
243,7,131
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,7,128
242,7,128
244,6,128
244,6,128
243,5,129
242,4,128
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,129
243,5,127
243,5,127
243,5,127
243,5,129
244,6,130
244,6,130
244,6,130
244,6,130
244,6,130
244,6,130
242,6,130
242,4,128
242,4,128
243,5,129
243,5,129
243,5,129
244,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
244,6,130
244,6,130
244,6,130
244,6,130
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,129
243,5,129
243,5,129
243,5,129
243,5,125
243,5,127
243,5,127
244,6,128
244,6,128
244,6,130
244,6,130
244,6,130
244,6,130
244,6,130
242,6,130
241,3,127
242,4,128
242,4,128
242,4,128
242,4,128
243,5,129
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
242,6,130
244,6,130
244,6,130
244,6,130
244,6,130
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,127
243,5,129
243,5,129
243,5,129
