R,G,B
63,21,93
69,28,98
68,27,95
60,21,88
49,18,86
54,21,90
60,24,94
72,32,103
81,39,111
83,40,112
75,32,104
67,25,97
67,27,100
62,24,97
60,22,95
58,20,93
62,22,95
76,32,109
98,51,129
113,64,143
122,63,145
116,57,139
166,100,174
147,83,157
119,62,131
104,51,119
87,41,105
70,29,89
63,23,83
57,19,78
57,19,78
56,18,77
57,19,78
61,23,84
60,24,85
59,25,86
65,31,92
71,40,100
74,38,102
73,38,102
64,29,95
59,24,92
69,33,103
78,42,114
74,38,112
67,29,104
65,24,100
64,22,98
65,23,97
58,16,90
66,24,96
71,30,100
69,28,96
66,27,94
52,25,94
56,26,96
56,23,94
61,23,96
74,32,106
82,38,113
80,36,111
75,33,107
74,34,107
64,26,99
59,21,94
60,22,95
65,25,98
77,35,109
100,56,131
120,73,151
132,70,153
124,62,145
163,91,164
160,90,162
144,81,152
120,63,132
102,51,120
80,35,104
68,27,97
65,25,95
64,24,95
63,23,96
63,23,96
65,25,98
63,25,98
68,30,103
77,41,113
78,42,114
76,40,110
72,35,105
70,33,103
64,24,97
75,35,108
83,43,116
77,36,112
65,25,98
59,21,94
63,25,98
64,27,97
65,28,97
74,34,104
81,42,109
79,38,104
71,30,96
61,31,93
60,28,93
58,21,90
59,17,89
67,23,98
79,35,112
82,40,114
76,36,107
65,30,96
56,24,87
52,20,83
57,21,85
63,22,92
81,33,107
114,61,141
138,80,164
149,79,165
139,69,155
163,90,163
158,88,160
145,79,151
121,61,131
103,50,120
83,36,106
72,29,100
68,27,97
64,24,95
65,25,96
68,28,101
73,33,106
76,36,109
81,43,116
90,52,125
88,52,124
82,45,115
73,36,106
70,30,101
65,25,98
78,36,110
83,41,115
78,36,110
70,30,103
70,30,103
69,31,104
66,29,99
66,29,98
72,32,102
75,36,103
72,31,97
67,26,92
60,30,92
62,30,95
62,25,94
62,22,93
70,26,101
80,36,111
78,36,110
70,30,101
59,24,90
54,22,85
54,22,85
68,32,96
71,30,100
85,37,111
112,59,139
138,80,164
151,81,167
145,75,161
159,83,157
153,81,154
142,74,147
122,61,131
106,50,121
88,38,109
78,32,104
72,29,100
69,27,99
70,28,100
74,32,106
80,38,112
84,42,116
90,50,123
95,57,130
93,55,130
84,44,115
72,32,103
66,24,96
68,26,100
84,42,116
88,46,120
81,39,113
77,35,109
78,38,111
75,37,110
70,33,103
66,29,98
67,30,97
63,26,93
61,22,87
61,22,87
59,27,90
61,29,92
63,26,95
63,23,94
69,27,101
75,33,107
71,31,104
59,22,92
53,18,84
53,21,84
59,27,90
81,44,111
78,37,107
86,38,112
104,51,131
127,69,153
140,72,155
136,68,151
154,76,151
147,74,147
139,69,142
121,58,129
108,51,122
92,40,112
84,34,107
77,31,103
77,31,104
77,31,104
78,32,107
80,36,111
80,36,111
82,40,114
87,46,122
84,43,119
77,34,106
71,28,100
65,21,96
75,29,104
96,50,125
103,57,132
91,47,122
81,39,113
80,40,113
78,41,111
72,35,105
65,30,98
61,26,92
55,18,85
51,15,79
55,19,83
56,24,87
58,23,87
57,20,87
59,19,90
65,23,97
70,28,102
64,24,95
52,17,85
49,17,82
55,25,89
67,35,98
86,51,117
84,43,113
88,40,116
102,47,128
118,60,144
122,57,139
118,53,135
157,76,152
147,69,145
136,64,138
121,53,126
110,48,121
96,40,113
89,37,109
84,34,107
82,31,106
78,30,104
78,30,106
80,32,108
75,29,104
71,27,104
73,31,107
71,29,105
72,26,99
75,29,104
75,27,103
86,38,114
108,60,136
120,72,148
105,59,134
83,39,114
76,34,108
77,37,108
72,35,105
65,30,98
57,22,88
50,15,79
48,13,77
53,18,82
55,20,84
52,17,81
51,14,81
56,16,86
63,23,94
66,26,97
59,22,92
49,17,84
48,18,82
56,26,90
68,38,102
79,44,110
81,40,110
89,41,117
106,51,132
116,58,142
113,50,129
105,42,121
165,83,159
152,71,148
140,64,139
125,55,128
114,50,124
106,46,120
101,45,118
94,40,115
88,34,110
84,32,107
84,31,109
86,35,112
81,30,107
72,23,102
73,26,104
70,26,103
80,29,106
88,37,114
91,40,117
104,51,129
121,68,146
133,82,159
116,68,144
87,41,116
70,26,101
70,30,101
69,32,101
65,30,98
53,21,86
46,14,77
47,15,78
51,19,82
54,19,83
52,16,80
51,14,81
58,18,88
66,26,97
67,30,100
61,25,95
52,20,87
46,15,82
50,21,85
56,26,90
61,26,94
67,25,97
81,33,109
103,48,129
111,53,137
107,46,124
97,36,114
170,86,163
157,74,152
145,67,143
135,61,136
129,61,136
122,58,132
120,60,134
113,55,131
104,46,122
97,40,117
96,39,116
99,45,123
93,40,118
84,33,112
83,34,113
84,35,114
93,39,117
101,47,125
105,51,129
118,64,142
128,74,152
139,85,163
124,73,150
94,46,122
67,23,98
63,21,93
65,28,97
66,31,99
54,22,87
45,15,79
47,17,79
50,20,82
55,19,83
56,20,84
59,20,87
61,21,91
66,29,99
71,34,104
64,31,100
55,24,91
45,16,82
43,14,78
43,11,78
51,14,83
56,14,86
76,25,102
96,41,122
106,48,132
101,43,120
93,35,112
173,86,164
159,75,153
151,70,147
146,70,145
143,72,148
138,72,146
136,72,148
129,67,142
121,59,136
111,50,128
108,47,125
111,52,132
105,48,127
95,41,119
95,44,123
97,46,125
104,47,126
109,52,131
113,56,135
127,70,149
131,74,153
139,82,161
128,74,152
101,50,127
70,24,99
59,17,89
62,25,95
67,32,100
55,23,90
45,15,79
47,17,81
50,20,82
59,20,85
63,24,91
63,24,91
62,22,92
65,28,98
72,36,106
68,35,104
59,28,95
49,18,85
43,12,79
38,6,73
52,15,85
58,15,87
78,27,104
95,40,121
109,50,132
99,45,123
94,40,118
172,84,162
163,76,155
154,71,149
155,77,153
159,85,160
158,87,163
154,86,163
154,87,164
140,76,154
127,63,141
117,54,133
117,56,136
116,57,137
116,59,138
113,58,139
108,55,135
116,57,139
120,61,143
122,63,145
119,60,142
124,65,147
127,68,150
129,72,151
115,62,140
92,44,120
64,21,93
44,4,75
52,16,86
52,20,87
51,20,87
51,21,85
55,25,89
65,24,92
67,26,94
68,28,98
65,25,95
66,29,99
64,28,98
65,32,101
66,35,103
57,26,94
44,13,81
49,13,83
56,16,87
69,25,100
89,38,115
96,41,122
102,43,125
100,47,125
93,40,118
167,79,157
162,75,153
156,72,150
158,77,154
163,87,162
163,91,167
159,88,164
153,85,162
137,69,146
129,60,140
126,59,139
127,62,142
126,63,144
121,62,142
116,59,138
109,54,135
109,50,132
110,51,133
111,49,132
109,47,130
117,55,138
126,64,147
134,75,157
126,71,152
109,58,135
86,40,115
68,26,100
50,13,83
45,9,79
44,12,79
47,16,83
53,22,89
67,26,96
70,29,99
74,32,104
73,33,104
76,36,107
72,35,105
70,34,104
66,33,102
54,21,90
47,14,83
61,24,94
73,31,105
86,40,115
96,45,124
96,41,122
98,39,121
95,42,122
93,40,120
166,78,156
167,80,158
164,80,157
162,81,158
161,85,160
159,85,160
151,79,155
144,73,149
135,64,142
131,60,140
129,60,140
130,63,143
125,60,140
119,58,138
113,54,134
109,52,131
105,46,128
102,43,125
101,39,122
101,39,122
110,48,131
123,61,144
135,76,158
135,78,159
123,70,150
105,57,133
92,48,123
58,18,91
50,12,85
45,9,79
46,13,82
53,20,89
70,27,99
73,30,102
77,35,107
77,35,107
81,41,112
75,38,108
70,34,104
65,29,101
54,18,90
54,18,90
75,35,108
93,49,124
100,51,130
100,47,127
92,35,116
88,31,112
91,39,121
96,44,126
175,87,165
181,94,172
182,98,175
174,93,169
162,86,161
151,77,152
143,69,144
140,68,144
138,66,142
135,62,141
130,59,139
123,54,135
115,48,128
107,44,125
105,46,126
107,48,128
105,48,129
102,43,125
99,40,122
104,42,125
114,50,134
126,62,146
138,76,159
139,80,162
133,78,159
119,68,147
110,63,141
82,40,116
77,37,110
63,25,98
59,23,95
63,27,99
71,27,102
72,28,103
73,29,104
72,30,104
77,35,109
73,33,106
66,28,101
59,21,94
55,17,90
62,22,95
84,42,118
107,60,138
107,58,137
101,48,128
89,32,113
84,27,108
92,40,122
103,51,133
179,92,170
188,101,179
190,108,184
183,102,178
166,88,163
149,73,148
140,66,141
142,68,143
144,70,147
140,66,145
130,57,138
119,48,128
106,39,119
100,35,117
101,40,120
105,46,126
104,46,130
101,43,127
101,42,126
112,50,135
121,57,143
132,68,154
141,79,164
143,84,168
142,84,168
135,82,164
125,76,157
111,67,144
106,64,140
90,49,125
81,43,118
79,41,116
82,38,117
80,36,113
78,34,111
76,32,109
81,39,113
79,37,111
73,33,106
66,26,99
57,16,92
66,24,100
89,45,122
114,65,144
113,62,141
104,51,131
92,35,116
88,31,112
82,33,114
95,46,127
