R,G,B
113,46,126
122,54,137
124,56,139
122,54,137
123,55,138
123,55,138
122,54,137
124,55,136
124,55,135
124,55,135
125,57,134
125,57,134
112,45,122
101,37,115
95,31,109
94,32,109
91,38,118
98,45,125
124,65,145
125,66,146
123,64,144
113,56,133
88,36,111
61,15,87
55,15,85
55,20,86
54,22,87
50,18,83
47,12,76
50,11,76
55,16,81
62,23,88
55,19,83
52,17,81
47,19,78
43,15,74
42,12,72
47,17,79
48,18,80
46,18,79
49,21,82
47,21,82
44,18,81
42,13,77
41,10,77
57,20,90
72,29,101
87,36,113
92,38,116
96,39,120
111,44,124
119,54,134
121,56,138
118,53,135
117,52,134
121,53,136
124,56,139
130,61,142
132,61,141
132,61,141
131,60,138
127,56,134
115,47,124
108,40,117
103,36,115
102,35,114
93,38,119
100,45,126
121,62,142
119,60,140
116,58,135
108,50,127
84,32,106
62,16,88
58,19,86
60,25,91
63,31,94
60,28,91
59,23,87
53,14,79
59,18,84
62,23,88
60,21,88
55,18,85
46,21,79
43,17,78
40,12,73
41,11,73
39,9,71
41,11,75
45,16,80
43,17,80
39,13,76
40,11,75
43,12,79
59,23,93
74,32,106
89,38,115
92,37,118
97,38,120
111,46,126
118,55,134
119,56,135
114,51,132
113,48,130
116,51,133
124,56,139
134,65,146
140,69,149
140,67,148
139,66,145
131,58,137
119,48,126
113,42,120
111,43,120
111,42,122
103,44,126
109,50,132
120,62,139
117,59,136
114,56,133
110,52,128
88,36,110
66,21,90
56,17,84
57,22,86
61,29,92
60,28,91
62,26,90
53,14,79
57,16,82
60,19,87
59,20,87
57,18,85
48,20,81
49,19,81
43,13,75
40,8,73
38,6,71
41,9,74
48,16,81
46,16,80
40,11,77
41,12,78
48,16,83
66,29,99
81,37,112
94,43,122
96,41,124
101,42,126
112,50,127
117,54,133
117,54,133
112,49,130
109,46,127
112,47,129
121,53,136
133,64,145
145,74,154
145,72,151
143,70,149
131,58,137
123,50,129
119,46,125
122,51,129
121,50,130
113,49,135
117,55,140
117,59,136
112,54,131
112,54,131
113,57,132
92,40,114
70,25,94
52,13,80
47,15,78
50,20,82
53,21,84
56,20,84
52,13,78
55,14,82
59,18,86
57,18,85
58,19,86
54,22,85
56,21,85
53,16,83
50,13,80
50,11,78
51,14,83
55,20,88
52,20,87
