H,S,V
94,183,163
94,183,165
96,189,171
92,201,169
88,199,167
89,193,166
100,181,164
110,167,160
109,166,157
103,177,162
99,189,164
96,189,162
95,189,162
93,198,167
89,200,168
98,196,173
112,178,168
131,156,161
144,143,159
138,147,154
142,151,158
164,114,152
152,119,150
139,134,154
119,147,151
102,159,152
93,176,158
83,186,159
79,194,163
77,198,165
76,199,168
80,197,168
84,191,165
93,185,164
100,178,162
102,170,155
99,163,149
104,162,166
98,166,167
98,179,172
97,185,173
95,177,163
102,170,157
117,171,157
119,178,160
107,187,158
92,198,160
81,200,160
94,202,168
99,187,163
102,176,161
104,176,165
102,178,168
100,183,163
86,191,161
80,200,164
87,199,163
98,182,156
107,171,155
112,170,158
113,170,161
110,170,160
106,179,162
99,193,167
85,196,164
92,192,166
108,173,165
131,151,162
145,137,161
140,143,152
145,148,157
163,114,146
162,115,147
155,119,147
140,128,148
122,145,153
108,165,159
96,181,162
89,187,162
89,188,160
94,190,163
97,191,165
95,187,166
99,183,168
105,176,170
109,162,166
117,157,167
106,162,159
102,172,162
96,174,160
104,183,164
105,176,158
98,167,148
106,179,159
109,186,166
107,190,170
97,190,171
92,189,170
100,184,169
110,169,165
112,158,158
104,163,159
95,175,164
91,177,176
89,181,168
95,194,166
102,199,168
104,188,165
107,174,165
106,167,162
102,174,163
93,182,162
91,193,169
87,194,168
88,196,170
93,191,168
112,173,165
135,142,158
163,128,161
159,133,158
159,135,157
158,119,148
155,121,148
148,124,148
137,133,150
123,148,155
109,166,160
98,179,162
96,185,163
98,188,163
102,187,164
102,186,163
101,180,161
103,173,162
110,166,163
115,154,161
122,150,162
119,154,158
106,171,163
92,184,163
101,186,163
110,174,158
109,165,152
111,174,163
109,183,170
107,180,169
103,179,167
100,180,167
99,180,165
100,172,160
101,167,157
99,171,160
94,178,165
96,177,171
89,177,161
94,188,161
99,192,161
106,183,163
107,173,161
102,172,161
97,182,163
91,189,164
95,190,168
96,184,168
93,180,164
95,179,164
107,168,161
130,148,158
152,132,157
158,134,156
159,135,157
151,125,150
148,126,149
141,129,149
130,138,151
120,151,156
108,165,159
102,176,163
101,182,163
103,185,163
105,183,161
108,180,160
108,172,156
110,166,157
117,159,158
120,149,155
128,148,159
128,153,158
108,176,163
91,194,167
99,187,163
117,167,156
123,157,156
116,165,162
111,173,170
108,170,167
109,168,164
104,174,163
95,180,161
91,180,158
95,182,163
95,186,168
89,186,166
96,180,167
87,181,157
90,190,156
98,191,160
106,184,162
106,177,161
98,182,159
89,194,163
90,199,167
97,186,166
107,172,168
102,160,162
102,166,165
108,164,161
131,156,161
148,142,156
151,137,154
151,138,155
151,129,150
144,129,148
136,133,150
126,143,153
117,152,156
108,163,158
104,172,161
104,178,161
104,181,161
106,179,159
110,177,159
111,174,157
114,170,159
117,166,160
119,161,159
123,161,162
122,167,160
105,184,165
97,195,170
107,179,165
126,156,158
136,146,158
126,150,160
118,163,168
111,165,167
105,166,161
100,174,161
90,183,162
86,189,162
91,196,166
91,200,171
83,198,167
88,188,162
81,192,159
84,203,161
94,200,162
103,189,162
105,182,162
95,190,160
83,204,163
85,206,165
93,182,162
109,160,163
111,149,160
110,159,164
114,162,162
134,158,160
150,144,154
140,149,156
141,150,157
157,129,151
149,132,150
139,137,151
128,145,155
120,153,158
112,161,158
109,169,161
108,176,163
108,179,161
107,180,160
111,180,161
111,178,160
115,179,163
116,180,166
113,179,167
115,183,170
109,184,163
101,186,163
106,187,172
118,166,166
136,143,161
147,135,159
137,140,157
124,162,165
110,171,164
98,172,159
92,175,159
89,182,163
88,192,167
87,202,169
82,206,169
74,203,162
78,196,161
77,204,161
81,215,165
87,208,165
95,191,163
102,185,165
94,193,164
84,207,163
80,207,162
84,184,156
98,163,157
107,158,162
109,165,166
113,165,161
132,156,156
150,143,151
128,160,157
127,162,158
163,128,150
156,131,150
145,137,152
135,143,154
126,149,155
121,155,157
119,161,160
116,167,160
114,174,162
111,178,161
112,179,161
110,177,159
112,179,161
112,185,166
105,186,167
104,192,170
105,183,157
105,176,158
115,170,167
129,152,168
144,133,163
152,127,157
142,138,155
123,164,160
104,183,162
94,184,159
94,177,159
96,179,163
92,191,170
83,204,171
75,206,164
75,202,157
79,197,162
79,204,162
82,214,165
84,205,164
92,187,163
100,181,166
99,187,165
90,202,166
80,210,164
78,200,161
86,189,162
93,184,166
99,186,169
107,178,162
125,162,155
143,148,152
119,166,156
120,167,157
164,130,147
159,132,149
150,136,151
140,138,151
136,140,152
134,142,155
132,146,155
124,152,155
122,161,158
118,168,159
118,170,158
115,167,154
116,170,157
116,177,162
110,178,163
105,182,164
116,170,154
119,162,155
126,153,162
137,143,167
148,131,165
155,126,157
145,136,153
120,162,152
103,189,160
96,196,162
98,184,159
96,177,160
91,191,167
81,205,171
77,203,165
81,197,158
89,194,163
86,196,159
89,201,161
91,196,165
94,183,165
102,173,167
103,176,167
96,191,167
83,208,166
75,215,166
78,218,171
79,210,168
90,209,171
99,189,161
118,172,158
131,157,156
118,170,158
119,171,159
162,134,148
158,136,149
153,137,150
147,133,150
147,130,149
149,130,152
146,133,153
138,136,150
131,146,153
127,155,156
128,160,157
126,157,152
129,158,154
132,162,160
126,162,158
120,163,156
128,159,154
133,152,156
138,146,159
144,141,162
148,134,160
154,130,156
149,136,153
127,153,150
113,185,163
100,200,166
90,194,159
83,184,152
84,193,161
84,204,169
84,199,166
87,194,164
96,192,165
93,188,158
97,190,161
100,190,165
100,180,171
104,169,171
104,168,168
99,182,166
82,201,163
75,219,166
78,231,175
75,216,164
94,214,169
99,190,159
113,176,159
120,161,155
115,167,155
116,168,156
158,138,147
157,137,148
155,135,147
154,129,148
157,123,148
160,121,150
159,123,151
151,129,152
142,138,153
135,145,154
133,151,155
135,150,153
137,148,152
138,147,154
139,150,156
139,152,158
129,153,157
134,149,156
140,147,157
144,146,158
146,144,158
152,137,158
156,134,157
144,140,155
124,160,156
103,192,164
104,225,180
78,210,160
76,203,158
83,202,164
86,196,167
82,190,166
92,190,165
96,186,160
100,184,158
100,183,163
102,179,173
107,175,178
107,173,172
95,176,161
82,192,157
83,215,166
81,213,164
92,204,164
104,191,159
107,175,152
117,171,157
121,168,160
118,168,157
117,167,156
160,139,146
160,137,147
161,133,148
161,126,148
163,120,148
165,118,150
163,120,150
155,125,151
149,136,154
141,143,155
137,148,154
137,148,154
137,146,153
139,146,154
140,147,157
142,149,159
132,157,161
133,157,159
134,159,156
135,160,156
139,154,157
149,142,158
159,133,160
160,131,161
139,142,157
109,169,157
91,200,161
84,217,164
86,219,166
89,211,170
88,203,172
81,195,170
92,191,163
95,183,158
99,178,156
99,176,160
97,172,167
101,171,169
102,173,167
94,179,158
89,197,161
93,208,169
97,193,165
110,177,160
122,168,158
122,162,153
122,168,157
119,173,160
126,169,162
124,167,160
168,135,146
169,133,147
170,128,148
167,123,148
165,121,148
163,120,150
158,124,151
153,127,152
150,137,155
144,142,155
137,146,155
134,149,154
131,150,154
132,153,158
133,154,159
134,155,160
132,161,157
129,164,157
126,170,157
127,171,158
133,162,160
147,146,160
158,132,161
161,127,162
151,137,162
128,152,156
103,164,148
108,199,164
101,212,170
94,213,173
91,209,175
89,201,176
100,188,163
101,183,160
105,178,158
104,175,161
103,169,165
104,170,166
102,179,163
93,188,156
93,202,163
99,198,167
107,173,163
124,154,162
134,151,161
130,158,159
124,174,162
118,183,163
131,167,163
127,163,159
179,126,144
179,124,145
178,122,147
173,120,148
164,121,148
158,125,152
152,130,153
149,131,153
149,136,154
147,141,155
141,145,154
133,152,156
127,159,158
124,163,160
124,165,161
123,163,162
130,162,149
128,166,153
124,170,157
124,170,160
131,161,161
147,146,162
158,132,161
158,129,160
154,135,163
146,142,159
131,140,149
131,163,158
110,177,159
97,191,164
97,196,167
100,190,165
109,182,162
109,181,161
111,180,161
113,176,165
112,171,165
112,173,166
106,184,162
96,196,158
93,206,162
101,193,168
114,163,167
132,144,168
139,145,167
131,159,163
120,178,163
110,189,160
129,168,163
126,162,160
186,121,145
187,118,146
185,116,145
176,117,147
162,122,149
151,129,150
145,134,151
144,135,152
147,134,151
150,138,152
145,145,153
135,155,154
126,166,158
121,171,162
119,170,161
117,167,158
124,167,147
130,166,152
134,165,159
133,163,163
137,156,163
149,144,164
162,133,161
163,130,161
155,132,160
151,135,161
150,135,158
145,141,158
126,149,155
114,165,158
110,172,157
110,171,155
113,175,162
110,177,160
111,180,162
114,177,166
114,171,165
114,171,164
107,182,159
94,196,156
93,209,164
103,193,168
121,162,168
137,142,171
139,143,168
128,159,164
114,177,160
106,187,155
127,174,168
121,166,161
