H,S,V
123,165,155
128,157,152
137,153,152
140,152,152
135,153,153
135,155,154
135,155,156
136,151,156
136,151,156
137,152,159
133,148,153
129,150,153
124,159,153
119,169,157
117,178,160
111,179,158
122,167,162
123,165,161
152,138,153
154,140,155
147,139,152
134,152,154
111,172,154
100,205,165
84,210,162
79,202,156
79,198,158
79,206,165
73,216,170
68,219,168
69,209,162
74,196,155
84,198,162
85,199,166
68,205,163
72,209,163
74,212,160
66,207,154
68,203,160
75,200,168
80,194,168
80,195,164
80,203,159
81,212,162
91,214,168
92,196,163
102,181,162
110,170,158
119,172,156
122,173,154
125,162,155
131,156,153
138,152,153
138,154,154
135,155,154
136,154,154
141,150,155
142,145,154
144,144,154
142,145,154
135,144,151
129,150,153
121,160,155
115,169,156
115,176,160
113,176,157
125,168,161
124,165,159
138,145,155
145,144,158
140,144,156
126,157,159
104,179,159
92,204,166
84,205,160
85,191,153
88,178,152
85,184,156
74,195,160
76,208,168
77,202,160
80,195,156
80,196,161
76,200,164
71,200,161
77,204,161
78,212,161
71,220,164
66,223,168
70,217,173
76,206,170
77,206,167
77,215,166
75,216,163
89,210,167
98,188,162
107,175,160
111,171,159
116,173,156
120,173,153
129,158,156
134,152,154
139,150,152
136,154,154
133,158,155
136,156,157
141,150,155
144,141,152
148,137,151
150,138,152
144,138,150
137,146,153
126,156,154
118,164,154
121,169,157
123,166,156
129,164,160
130,162,159
127,150,158
134,148,161
133,145,159
121,154,159
102,176,161
87,199,163
85,206,165
90,191,159
95,176,157
95,176,159
86,184,161
92,199,169
94,198,165
94,195,161
84,198,164
75,204,166
78,196,162
83,197,161
87,208,163
80,223,169
72,231,175
72,222,174
76,207,167
77,206,165
77,217,168
73,216,163
86,205,165
99,181,159
112,169,160
115,168,160
117,171,157
119,172,154
130,154,156
134,149,154
137,151,154
135,156,157
129,161,158
130,160,158
137,152,155
143,141,152
148,136,150
152,135,153
152,135,153
149,143,155
138,151,157
129,155,154
131,157,154
134,154,153
135,161,158
135,160,157
126,151,158
131,147,160
137,146,161
125,148,156
111,168,159
86,190,157
82,212,168
80,209,168
83,196,166
89,191,167
90,193,166
94,202,170
96,202,166
94,198,161
89,201,163
80,202,165
85,192,166
87,192,162
90,200,163
85,213,165
82,218,170
84,211,168
84,198,162
84,200,163
81,212,168
75,211,165
89,200,167
102,176,159
116,165,161
122,164,162
123,168,161
121,171,159
124,158,159
129,153,155
132,153,156
128,160,159
122,165,158
124,165,159
132,156,156
141,145,154
146,138,151
150,136,153
152,133,152
152,138,155
146,143,154
138,145,153
138,147,152
141,146,152
137,159,156
138,158,156
130,150,157
136,148,160
141,147,163
135,145,155
122,163,157
90,183,154
77,219,169
66,227,173
62,215,169
73,207,170
82,206,170
85,205,167
90,207,163
86,202,157
87,202,161
82,198,159
90,189,168
88,188,162
88,193,160
86,198,158
89,201,161
93,197,162
95,190,160
92,196,163
85,206,165
79,206,165
90,198,166
102,174,160
118,162,161
127,162,164
128,167,164
127,170,163
119,164,161
124,158,159
128,158,158
123,164,160
117,168,159
120,167,159
130,158,159
140,147,155
147,141,153
149,136,153
149,132,150
152,133,152
148,135,152
141,138,149
142,142,150
144,144,152
138,158,156
139,158,156
119,159,159
122,157,161
126,155,161
125,154,160
117,159,158
102,173,159
91,194,164
81,215,165
74,226,165
69,224,158
70,216,153
83,212,158
90,202,162
94,197,167
91,190,169
88,189,171
101,177,165
99,177,164
100,178,165
102,178,166
101,177,164
97,178,161
92,184,159
89,194,161
90,205,164
92,207,164
94,198,161
96,182,153
109,178,159
113,173,161
116,173,166
115,172,166
104,181,165
113,173,161
125,166,158
131,162,156
127,163,151
124,166,152
122,164,150
122,155,146
133,149,148
141,140,146
148,134,147
156,133,149
154,131,149
147,130,146
141,138,147
143,148,154
146,151,157
146,151,157
126,156,158
126,154,158
128,151,159
127,150,158
121,152,157
112,161,158
103,177,160
90,195,162
81,211,165
74,215,162
77,211,158
80,202,155
85,193,157
87,190,161
88,192,167
86,192,170
98,183,164
94,183,161
92,187,163
90,193,164
91,196,165
90,195,162
88,194,158
85,193,157
89,198,159
91,195,160
96,191,159
100,183,157
110,182,162
112,176,162
114,174,162
113,173,163
112,172,162
119,164,157
128,157,153
129,154,150
122,159,151
117,171,155
114,179,159
111,179,158
119,173,157
125,160,153
138,149,151
147,144,151
149,139,150
146,136,147
147,137,148
152,142,153
138,153,156
140,155,158
132,151,155
131,152,155
130,150,157
129,147,157
128,146,158
126,148,159
119,159,161
106,174,163
94,192,167
86,204,169
87,209,170
81,197,160
82,190,156
83,188,158
85,195,166
82,199,170
92,191,160
86,194,160
80,201,158
78,210,161
80,217,165
83,215,165
86,206,160
89,195,155
95,190,158
96,182,155
100,182,160
105,182,162
111,184,165
110,179,161
110,177,159
111,174,157
120,165,158
127,156,154
134,148,151
132,146,149
123,154,149
115,171,158
108,186,164
102,192,164
105,191,164
114,177,158
129,160,152
141,153,153
144,147,152
144,141,150
151,135,148
163,131,152
134,155,156
136,160,160
136,156,155
132,156,156
130,155,159
129,152,160
133,147,160
134,146,162
130,149,164
117,158,164
103,174,166
96,190,172
93,201,175
87,197,168
85,194,163
82,196,163
83,203,168
81,207,170
88,203,162
84,205,160
78,210,160
76,218,162
81,223,167
86,219,166
90,206,161
95,190,156
105,183,159
104,173,155
105,176,160
107,181,164
108,185,165
106,181,160
110,179,158
109,172,151
122,161,156
131,152,153
139,143,152
137,141,150
129,147,151
123,159,157
115,173,161
105,180,159
108,183,160
117,172,153
134,157,149
143,152,149
144,149,152
143,144,149
155,132,150
171,122,151
131,149,149
136,156,155
134,165,159
132,164,159
130,162,161
128,158,160
132,152,161
132,148,163
128,147,162
118,150,161
108,159,162
100,173,166
95,183,169
94,191,171
90,194,167
89,200,168
87,203,168
86,206,170
88,209,166
87,208,165
86,207,164
87,206,164
90,205,166
93,199,163
98,188,160
103,176,156
112,174,159
109,170,155
110,177,160
107,182,161
107,186,164
108,183,160
113,178,156
112,169,150
120,161,155
128,152,154
136,145,154
138,140,153
134,140,152
131,144,153
129,150,153
119,154,148
122,160,149
132,153,144
146,146,144
151,145,145
146,147,149
143,144,149
156,131,150
174,119,151
130,148,148
137,157,156
127,168,160
127,167,159
126,165,160
126,162,160
126,160,161
126,157,160
123,154,159
119,152,159
115,154,159
109,159,160
103,164,159
104,177,166
98,183,164
97,189,164
95,189,162
96,192,164
86,200,164
91,196,163
97,189,164
102,181,162
104,175,161
107,170,161
109,166,159
110,163,155
113,166,156
109,170,155
110,179,160
106,184,160
109,187,163
114,182,161
121,174,158
121,163,153
122,158,156
128,152,154
134,147,156
135,145,157
133,141,154
137,139,154
141,139,152
136,139,146
135,144,143
142,140,141
153,138,141
154,139,144
145,143,148
142,142,150
154,133,152
168,123,152
125,156,151
133,164,159
119,169,160
122,169,161
123,168,161
122,169,159
120,170,159
118,170,158
117,167,158
119,161,157
120,156,156
119,153,155
118,153,155
116,161,158
112,168,159
110,170,158
108,172,156
109,173,156
93,186,159
97,179,157
106,169,158
113,162,158
117,155,158
119,152,157
118,153,157
116,158,156
112,163,156
109,171,156
108,180,160
107,181,158
115,183,162
121,173,160
130,162,157
135,155,154
133,150,157
134,147,155
134,147,156
132,149,159
130,148,158
135,145,157
143,141,154
143,140,149
141,138,145
144,139,143
152,137,144
152,135,145
147,135,145
145,137,150
150,135,154
157,131,156
116,162,152
123,169,159
116,171,165
118,174,165
116,176,164
115,179,162
112,181,160
109,181,159
111,176,156
114,168,154
116,157,151
122,152,152
128,152,156
127,151,155
130,155,159
125,157,156
125,160,156
124,161,154
115,173,159
115,167,155
117,160,153
121,155,154
123,153,153
121,151,153
119,153,152
115,160,155
111,167,156
110,174,158
111,178,161
112,174,159
123,173,162
131,161,159
141,152,156
149,147,158
143,141,155
142,140,154
139,143,155
135,149,158
129,152,158
132,151,158
139,146,156
143,141,152
142,141,149
142,141,147
146,136,145
153,129,145
158,124,148
157,127,151
152,134,156
146,138,159
115,165,154
121,171,160
115,171,168
111,174,166
107,179,165
103,185,163
102,186,160
105,185,158
109,181,157
116,175,157
122,168,158
126,158,157
133,152,158
138,151,159
139,149,158
136,149,157
133,151,155
132,152,153
132,154,152
129,155,152
126,157,151
124,160,150
125,163,152
125,165,154
121,165,152
114,164,152
115,171,158
114,174,162
116,173,164
121,167,164
128,158,160
138,148,157
145,141,155
152,138,155
152,139,157
152,141,158
147,146,160
138,151,160
132,156,160
133,157,161
138,151,157
143,143,153
142,140,151
143,143,155
141,133,148
163,127,153
178,116,153
175,115,153
157,128,156
140,143,162
118,161,152
120,163,154
115,165,166
109,168,164
103,175,163
101,180,161
101,180,158
106,178,156
113,174,158
120,167,157
125,164,159
128,156,159
134,153,160
142,152,162
144,150,162
146,150,161
144,151,159
142,151,158
149,146,155
143,148,152
133,154,149
126,159,148
124,165,147
125,168,149
123,167,150
119,166,150
118,168,156
118,167,161
123,163,163
129,156,163
136,148,160
143,142,158
150,139,156
153,138,157
151,139,159
149,145,160
146,150,162
138,155,162
132,162,162
130,165,161
134,160,159
142,151,158
143,147,158
138,146,157
142,141,157
160,123,154
187,108,155
192,106,155
168,122,158
142,143,163
121,164,155
123,166,157
120,159,164
115,161,161
111,166,161
110,170,162
109,169,159
115,166,157
122,163,159
127,157,159
134,154,161
134,152,162
136,152,165
138,155,165
142,154,166
146,155,164
149,153,162
149,149,157
155,141,158
147,144,155
137,147,149
132,152,150
132,157,151
135,161,152
133,160,151
130,160,152
130,162,157
129,161,160
130,155,159
135,149,160
140,143,158
144,141,160
145,142,161
146,143,162
145,147,162
143,151,162
139,158,164
133,165,164
126,171,164
123,175,163
128,171,164
134,162,163
139,160,165
130,159,165
135,157,168
147,131,157
182,111,155
193,105,155
170,118,156
145,140,162
119,169,158
120,170,159
125,158,163
123,156,161
124,159,163
122,160,161
120,160,160
121,159,160
127,156,162
131,151,162
136,149,165
136,149,165
132,154,167
130,160,168
129,163,165
135,163,166
143,158,161
144,152,155
147,143,158
144,142,156
142,141,155
141,143,156
145,145,157
147,145,158
147,147,157
144,148,157
143,154,158
139,152,158
139,150,156
139,146,156
141,145,157
139,145,161
136,148,164
132,150,164
137,154,162
134,159,163
130,166,164
125,172,164
120,178,164
116,180,164
119,177,163
127,170,163
129,168,165
121,170,167
120,170,169
131,149,161
162,127,157
177,115,156
166,122,157
147,139,162
119,169,160
120,170,161
128,159,162
128,156,160
131,156,163
131,156,163
126,156,164
123,158,164
124,157,166
126,154,165
131,153,167
128,155,166
123,162,167
116,171,168
114,175,167
120,176,165
129,170,162
131,162,156
135,154,161
136,150,161
139,146,162
145,142,163
150,138,162
154,136,162
156,136,161
156,138,160
155,144,160
150,144,156
146,144,155
143,146,155
139,149,158
133,151,161
127,155,166
123,157,166
128,162,163
126,167,163
124,171,165
122,175,165
117,177,165
115,179,163
118,176,162
125,172,164
124,167,160
118,174,165
107,173,163
120,169,166
141,149,162
156,132,156
155,132,158
149,141,162
126,162,158
126,162,158
128,159,161
128,156,160
132,155,161
132,155,163
127,157,165
121,162,168
117,165,169
117,162,167
118,163,168
115,165,166
111,172,165
108,182,169
105,188,168
107,189,167
114,186,164
117,178,160
123,170,164
125,167,165
131,162,165
138,156,166
142,148,164
148,140,161
154,136,160
160,136,160
161,136,158
159,138,157
152,141,157
143,147,158
135,154,160
129,160,163
123,164,166
118,166,168
118,171,161
117,173,162
119,175,166
122,175,167
120,176,167
119,177,165
120,176,165
125,175,164
122,169,159
121,177,164
109,176,159
117,181,167
127,168,164
137,150,159
147,140,158
151,139,161
133,154,155
134,155,156
132,158,159
132,156,160
134,154,161
133,158,163
127,160,165
120,165,168
115,171,170
110,172,167
108,175,168
104,174,163
103,180,164
105,189,166
105,195,169
106,196,168
106,195,165
106,192,163
113,187,164
113,185,165
118,182,165
121,177,164
127,168,162
133,154,157
144,144,156
158,136,157
165,132,159
163,133,159
156,138,160
142,148,160
131,159,163
124,166,164
120,171,166
119,172,164
108,179,161
110,179,161
116,176,164
121,174,166
121,172,165
118,174,165
116,178,165
118,179,164
118,175,158
120,177,158
116,179,158
114,183,162
117,178,163
128,162,161
145,144,158
159,135,159
133,153,154
135,155,156
138,157,161
137,156,160
137,156,162
135,158,164
129,162,167
123,169,169
116,175,171
109,179,169
103,181,167
98,179,162
100,184,161
105,191,166
107,196,168
107,198,167
104,199,165
101,198,163
107,196,164
106,195,163
106,195,163
108,193,162
111,183,159
119,167,153
133,151,151
152,138,153
165,131,158
166,129,160
156,136,163
141,147,163
128,159,164
119,168,164
119,172,162
120,174,161
100,182,159
105,180,160
112,176,162
118,171,163
118,169,164
112,172,164
107,178,162
108,181,161
110,178,157
115,174,152
119,181,158
110,180,156
114,181,163
127,168,162
147,147,159
166,132,159
130,156,157
132,158,159
130,170,162
133,163,161
133,159,160
130,158,161
122,166,165
111,178,169
100,187,170
95,188,167
97,189,164
98,186,161
100,189,161
99,196,165
93,196,166
91,196,166
90,192,168
90,190,166
93,191,153
102,195,164
103,191,167
101,188,171
103,184,177
111,170,174
128,150,171
148,131,165
165,120,161
169,124,163
156,130,159
141,140,158
131,149,159
125,159,161
125,167,166
121,167,165
112,166,166
116,166,165
122,168,165
119,164,159
121,163,159
125,166,162
120,165,162
114,169,163
109,172,161
114,178,164
114,178,161
109,184,161
105,191,166
